Samples,Potential,pC1,pC2,pC3,pC4,pC5,pC6,pC7,pC8,pC9,pC10,pC11,pC12,pC13,pC14,pC15,pC16,pC17,pC18,pC19,pC20,pC21,pC22,pC23,pC24,pC25,pC26,pC27,pC28,pC29,pC30,pC31,pC32,pC33,pC34,pC35,pC36,pC37,pC38,pC39,pC40,pC41,pC42,pC43,pC44,pC45,pC46,pC47,pC48,pC49,pC50,pC51,pC52,pC53,pC54,pC55,pC56,pC57,pC58,pC59,pC60,pC61,pC62,pC63,pC64,pC65,pC66,pC67,pC68,pC69,pC70,pC71,pC72,pC73,pC74,pC75,pC76,pC77,pC78,pC79,pC80,pC81,pC82,pC83,pC84,pC85,pC86,pC87,pC88,pC89,pC90,pC91,pC92,pC93,pC94,pC95,pC96,pC97,pC98,pC99,pC100,pC101,pC102,pC103,pC104,pC105,pC106,pC107,pC108,pC109,pC110,pC111,pC112,pC113,pC114,pC115,pC116,pC117,pC118,pC119,pC120,pC121,pC122,pC123,pC124,pC125,pC126,pC127,pC128,pC129,pC130,pC131,pC132,pC133,pC134,pC135,pC136,pC137,pC138,pC139,pC140,pC141,pC142,pC143,pC144,pC145,pC146,pC147,pC148,pC149,pC150,pC151,pC152,pC153,pC154,pC155,pC156,pC157,pC158,pC159,pC160,pC161,pC162,pC163,pC164,pC165,pC166,pC167,pC168,pC169,pC170,pC171,pC172,pC173,pC174,pC175,pC176,pC177,pC178,pC179,pC180,pC181,pC182,pC183,pC184,pC185,pC186,pC187,pC188,pC189,pC190,pC191,pC192,pC193,pC194,pC195,pC196,pC197,pC198,pC199,pC200,pC201,pC202,pC203,pC204,pC205,pC206,pC207,pC208,pC209,pC210,pC211,pC212,pC213,pC214,pC215,pC216,pC217,pC218,pC219,pC220,pC221,pC222,pC223,pC224,pC225,pC226,pC227,pC228,pC229,pC230,pC231,pC232,pC233,pC234,pC235,pC236,pC237,pC238,pC239,pC240,pC241,pC242,pC243,pC244,pC245,pC246,pC247,pC248,pC249,pC250,pC251,pC252,pC253,pC254,pC255,pC256,pC257,pC258,pC259,pC260,pC261,pC262,pC263,pC264,pC265,pC266,pC267,pC268,pC269,pC270,pC271,pC272,pC273,pC274,pC275,pC276,pC277,pC278,pC279,pC280,pC281,pC282,pC283,pC284,pC285,pC286,pC287,pC288,pC289,pC290,pC291,pC292,pC293,pC294,pC295,pC296,pC297,pC298,pC299,pC300,pC301,pC302,pC303,pC304,pC305,pC306,pC307,pC308,pC309,pC310,pC311,pC312,pC313,pC314,pC315,pC316,pC317,pC318,pC319,pC320,pC321,pC322,pC323,pC324,pC325,pC326,pC327,pC328,pC329,pC330,pC331,pC332,pC333,pC334,pC335,pC336,pC337,pC338,pC339,pC340,pC341,pC342,pC343,pC344,pC345,pC346,pC347,pC348,pC349,pC350,pC351,pC352,pC353,pC354,pC355,pC356,pC357,pC358,pC359,pC360,pC361,pC362,pC363,pC364,pC365,pC366,pC367,pC368,pC369,pC370,pC371,pC372,pC373,pC374,pC375,pC376,pC377,pC378,pC379,pC380,pC381,pC382,pC383,pC384,pC385,pC386,pC387,pC388,pC389,pC390,pC391,pC392,pC393,pC394,pC395,pC396,pC397,pC398,pC399,pC400,pC401,pC402,pC403,pC404,pC405,pC406,pC407,pC408,pC409,pC410,pC411,pC412,pC413,pC414,pC415,pC416,pC417,pC418,pC419,pC420,pC421,pC422,pC423,pC424,pC425,pC426,pC427,pC428,pC429,pC430,pC431,pC432,pC433,pC434,pC435,pC436,pC437,pC438,pC439,pC440,pC441,pC442,pC443,pC444,pC445,pC446,pC447,pC448,pC449,pC450,pC451,pC452,pC453,pC454,pC455,pC456,pC457,pC458,pC459,pC460,pC461,pC462,pC463,pC464,pC465,pC466,pC467,pC468,pC469,pC470,pC471,pC472,pC473,pC474
p_mouse_0mV_1,0,33385.31815,65679.97437,45030.16173,80038.6362,54103.06681,274545.2431,67191.56989,48628.98042,787643.0616,59516.99961,235579.9304,339455.6363,37478.49223,88834.90855,119460.7226,26605.7376,61214.84207,54201.46061,3203238.379,68511.09328,88965.40971,86015.45198,145977.0206,23782.98481,78979.75326,334273.2693,2183323.047,3921597.415,280412.1,19758.45036,575587.82,69547.79398,125398.7655,1200175.371,80395.70923,70643.51576,278859.4098,8686.16383,449715.5448,152429.1533,51492.90642,33712.5864,3656118.889,1261189.092,82031.56215,37917.98749,206397.5245,33846.59905,69064.92362,183213.7342,558988.0215,134405.7907,56970.35635,60271.75572,40867.54606,181632.0416,58987.92812,63894.57276,80790.81517,29120.8885,270049.0354,170877.8236,93869.49227,310407.1163,115295.0888,31582.88114,237984.5628,114549.1992,78377.01016,32810.93665,196443.7792,28736.38783,187900.9807,216890.1625,141447.9667,1091670.642,28246.65511,20929.21831,186192.5871,150866.6716,838259.9713,23189.38341,46628.11636,71605.57353,167665.1518,76046.09726,69416.42032,115553.8955,30050.39479,35534.70972,35362.35955,99686.19857,44740.85118,474034.6346,2488541.283,70193.09031,23069.79671,102151.9131,19263.23013,30863.98648,49774.77109,137873.6206,55117.4873,42326.09013,37213.42612,25479.40532,17754.20093,24797.61417,46509.72695,42599.94075,59464.29736,683554.093,103764.0372,495491.9014,22906.22693,30334.53256,33703.15802,39484.67371,23207.51558,23944.6293,165217.2591,32620.47138,67922.41397,19496.08783,57139.51839,377241.0158,153739.6961,937864.4681,99980.9243,927961.324,24042.85835,20765.17274,24592.88972,11049.63076,559022.7191,28537.47608,65110.37973,9128.019091,47159.04861,116349.2726,145086.4558,15786.08955,94352.34404,10135.84734,18653.44696,27312.87269,54270.37433,639730.8142,171919.2086,26499.69649,26525.86916,28662.21632,38610.80127,19833.69467,42550.25081,67010.22556,16090.96624,38974.28498,29971.62349,41840.5465,98623.57676,32896.01393,33593.64876,72795.81898,10543.07173,23554.44738,25623.36216,84620.39284,19014.05264,30773.22572,66282.87437,29601.85391,42181.06305,214875.3115,44435.85969,26129.10823,464213.2722,73281.81606,74164.27949,15432.79922,21086.99089,46564.24923,53452.99008,45870.27605,22994.56143,159688.9063,19693.62297,59157.62386,49370.38455,56308.37372,47351.55995,33063.35767,28096.34846,71973.07673,58177.82175,192601.5181,70689.81788,28039.13206,51004.25158,2305406.057,49178.86183,23082.42519,110651.3193,40124.33022,108331.5301,21687.78676,1081609.976,31883.89431,134789.8636,106420.9127,20753.25481,83776.25223,50719.88649,469992.8625,256240.694,242097.9841,74668.18828,60358.90157,8493.758192,11558.9101,246576.3923,29818.5597,284239.7949,225967.009,22351.09383,411570.7021,422913.7955,95601.18672,19646.49422,52697.57066,90382.69306,6405.211767,30884.31327,40225.36889,129361.4594,41278.11054,10983.26339,21709.15065,8166.765672,11071.04135,6069521.228,434293.2863,13407.87945,41167.02379,22085.69436,14211.34819,479727.462,73882.68044,22970.18322,96574.9598,318242.4526,86432.85886,3850057.019,24752.93802,15302.42928,23918.72497,28729.16699,36494.13394,58140.28533,300640.8514,8211.552578,31827.57032,59887.09716,41857.71585,34923.85302,12072.1062,65783.54626,45122.77018,6762.858312,133484.7436,24521.0676,90210.20923,23400.24219,62928.3682,21796.92957,28879.32593,24908.16123,31614.2066,43346.92492,151576.1988,14756.70683,16486.43309,99935.92017,217408.1082,60287.98922,29249.12602,54459.72446,28464.62794,47302.98481,27593.69547,65565.38204,19303.66325,196127.9234,167894.5551,39218.85872,54102.05867,31085.56991,106007.1988,76860.83336,52461.22009,93115.80488,28253.28946,80313.27612,43624.26417,17939.49423,101135.7618,25176.03735,58395.14772,18893.17572,51811.98585,25428.97023,49872.06121,99114.14732,184335.3963,84804.8113,52333.79156,41962.82332,78312.72804,123596.0656,183310.9941,10623.29348,86232.68535,58457.60741,62729.03019,22790.56215,44532.79616,69639.85907,12807.16163,155304.4392,37578.15578,48211.62156,129578.6028,25009.29525,3636.424443,62058.7155,242618.2725,688653.4667,71827.02037,56788.13046,141646.1737,65906.52975,59720.54032,21842.80728,24587.5329,37235.53859,117485.7037,150648.0287,17358.37217,28652.34793,45901.63368,53832.23242,45919.27445,32904.28527,126105.4193,74762.1865,74184.02397,203018.3302,21108.86563,24228.74724,6477.212183,12604.52833,18179.31268,11766.76583,44842.16308,105089.5948,6466.594529,9528.038243,34948.89513,28691.41398,26601.38981,1427208.414,48162.18071,136086.0314,26770.26148,146978.7231,9188.502336,18743.62244,52150.49224,485161.9703,151513.0182,239525.0924,33769.89918,2186396.398,6810.110139,19008.80036,8919.190709,86814.6893,159784.2,50258.80125,687837.397,115149.4912,36979.64605,662325.653,224151.9078,223534.4664,132723.3268,74484.16673,483089.7257,394314.5856,75895.43055,1104818.723,29190.96487,54510.57431,28158.9324,82003.03143,85190.97426,107063.9789,344141.7135,141929.0329,235777.8601,1965221.69,226327.3124,26370.43939,101887.7222,19876.21832,492899.8559,203813.1452,101302.3213,57938.75971,123616.0978,146573.0351,83556.39083,655436.7987,397502.4711,20890.13073,80112.62785,31328.81115,73741.26273,88139.67306,214820.8976,29901.01566,18826.96543,73674.33017,33708.31901,64179.56454,24709.84887,23013.04268,33842.4157,23609.41069,103139.6945,61805.37508,355432.1885,18802.95239,80658.49636,7129.348243,84546.85391,40498.48908,197642.0866,405064.9079,61997.70417,213769.2035,93707.499,15519.92847,21628.67396,73626.05299,28415.95992,64648.68824,119589.8988,20093.00131,287367.1773,21969.88677,164233.0453,39868.19172,68191.53049,35620.73441,66879.96663,160046.251,58906.03118,14664.85604,49189.60335,112952.6912,22984.10763,74466.21058,43556.27154
p_mouse_0mV_2,0,38534.57628,61353.80746,38997.72545,75263.9458,43762.15683,273340.9034,74253.91796,44596.36369,689003.6844,55246.3411,217302.1332,324551.6796,38832.444,82076.17046,113462.8175,27152.73682,62158.92247,52531.71124,2878524.491,63431.22008,78634.83257,72786.87065,136832.6878,27362.52419,68832.59562,317767.6747,2018846.289,3646536.099,267685.3878,17363.28635,519693.17,62943.45361,116033.287,1114981.219,88916.59596,63517.13105,255210.6058,12559.42533,406073.8406,148702.3752,53160.24845,31915.51576,3405125.045,1172841.685,83072.90039,38893.82826,195502.7281,28498.35387,60317.20281,164837.3252,524862.0851,120436.7242,55490.51443,53416.14607,44985.8258,164737.2238,49162.5898,51612.09266,66722.96048,29651.13015,244872.5868,150055.1657,97493.87823,294634.62,105664.9823,28427.67609,220877.5527,107859.9154,72297.00154,31139.70915,178644.8558,32404.75293,172289.8998,200207.0294,134449.4781,998047.1032,30374.20312,19984.78741,170053.5851,140397.2434,770309.1312,19367.30723,41319.47679,59015.57094,161810.8736,67791.98744,62347.1408,117079.8625,24844.94595,32100.11942,31586.0697,88479.3053,42980.30861,445514.9193,2317053.972,68233.0169,21761.94282,97743.4653,17680.82152,28109.05981,44630.02884,128422.0466,48491.19532,39122.47596,28560.73349,20369.33189,16977.49342,24739.5072,45458.25352,34040.45488,50010.66263,623145.6869,96547.61126,453339.4448,23436.72352,26587.24695,29657.74549,39969.31338,26743.39824,27645.9646,162854.7924,27884.74981,65601.88214,20591.48173,50850.05444,350106.5274,150077.1001,874303.3599,92400.86518,878673.9472,28108.77243,16864.03278,22124.36679,10283.11244,528035.2804,24448.91518,55184.4454,7185.928552,43950.72062,108595.9149,129199.0096,15759.0447,81727.3945,5467.747963,15881.61578,25742.47714,41731.50814,602493.6052,164535.7501,26581.74507,23848.0236,25534.23976,36819.93096,18893.88969,36592.22778,54831.2718,14823.57248,38149.77073,27200.88738,34754.30112,96025.22194,32631.74121,30700.85341,64169.47422,10519.93659,23038.03157,23272.05933,81500.69328,18782.25703,30353.63286,61385.09192,28146.95272,42304.94998,197617.8712,37833.90619,23535.07944,444073.618,62369.36331,70551.92402,15220.84302,21393.45853,45428.42385,45831.75396,41746.33357,23680.61252,155818.9781,18392.596,55379.52607,41027.33238,48073.62587,40885.37406,30546.97645,32659.40349,69742.68357,45925.99022,174991.8695,63985.90588,23519.59482,48731.6173,2029362.839,47472.82457,22213.61148,93917.58457,38476.89231,97601.8997,24373.53115,1002413.804,30663.91382,129269.8296,89249.21935,18222.00745,71202.95026,47292.20185,410104.5822,207992.2582,237144.4657,70347.57442,56677.43372,6622.681274,14393.82841,206514.6221,24645.6685,247891.2152,216608.5617,19262.27401,355646.9815,361544.3651,90930.88453,21108.82997,50425.00889,85783.10193,6273.700879,26717.97896,35939.96396,120634.1644,40402.07655,9614.505597,21899.25893,10486.84605,8053.519785,5715871.569,425435.2152,11316.31543,38404.76826,21868.18797,13316.0798,446811.7938,74179.2328,23861.404,78032.42505,313265.6371,75493.32381,3517029.309,28421.23419,13978.90072,23493.53702,28279.91754,30915.07879,58392.39068,289430.5078,7811.899339,31448.5591,56265.67578,41393.38477,30959.7476,10646.7562,55319.12964,40647.26472,7095.787593,126656.9155,24468.56716,79115.99193,20027.97462,54536.3337,20449.78296,25177.95323,23170.22106,32370.06348,40146.26254,138407.5014,14906.03788,15809.18201,79294.1349,198234.4304,58101.26457,29349.25159,51636.00277,23026.27427,43587.52505,23825.37367,62106.27361,21082.28076,193228.6736,159911.5157,30870.75651,49652.52401,31414.43193,94054.37616,51167.79245,50409.7937,87481.661,26369.94611,76411.10595,36126.01732,18197.29998,97683.29088,24392.03245,53583.66809,18917.69551,44240.53542,24099.55641,44661.12626,107566.4591,177126.7208,77996.53147,44869.52869,42650.76664,66372.102,108217.4188,174407.6642,6553.562002,86181.72279,46097.33886,56773.36127,24039.2769,39144.06078,61212.52551,10816.03559,145728.9953,31105.91776,43699.55729,114767.7994,23241.0351,3252.774249,43789.12495,218338.0789,586772.4764,60237.02027,50121.7233,126233.8083,59610.82587,57939.57398,21561.20438,21424.60784,34637.07465,101774.5337,142042.8113,14339.75162,29778.24116,45933.2949,52305.18205,39193.13192,30195.74617,118909.5567,76320.74161,66071.76191,178318.3223,16349.16155,25256.70152,6296.956444,12681.86927,17979.86587,15118.97117,41670.31053,93691.76399,6115.194057,7842.021248,32640.01122,21697.04184,23628.08402,1210500.963,40124.1621,134214.2401,25095.76231,129780.5542,9912.098448,15559.18533,45602.21842,416805.1104,144445.389,227620.8149,30288.74191,1760300.74,4971.406314,17845.27303,7425.777401,82498.42571,144158.3433,47095.93027,623784.5085,97594.31089,33338.61021,601696.9861,198824.7047,201288.5462,105521.2966,65741.00746,421127.2943,365889.8183,65388.08125,998102.7384,26864.61351,86980.08454,26985.43456,65577.44943,71221.84892,92323.41652,344734.7313,130757.805,223816.9985,1603305.915,231070.2763,22454.94808,94161.51767,22313.45898,388480.711,183880.4566,90659.89858,44108.60463,112997.875,130765.4096,77411.68622,600569.5162,364487.2066,18927.75217,77164.25159,30144.15172,66244.02375,69465.37533,211612.0085,27254.95717,16504.3922,56649.41847,28361.67449,64018.60963,25600.89995,20419.91052,30726.70041,22470.01557,95080.63951,53987.26195,321678.2624,15747.15552,76697.84335,8072.010974,80600.42256,38205.84112,186180.7092,369143.1337,60598.82848,204267.6824,86400.37744,13711.13181,20277.95611,69475.40046,26744.75888,55283.40131,110339.9825,22774.19342,261174.1007,19986.69927,150625.8262,36458.16709,60760.60707,38072.37031,53144.01761,128902.6755,55673.29372,15204.61445,46404.29978,110410.4222,19462.73396,79465.68802,38913.243
p_mouse_0mV_3,0,27644.39704,52668.33128,35104.96384,67094.92472,43041.80499,251146.6703,61123.41041,43223.91284,677098.3053,50013.06006,186736.0487,283521.6555,40483.55989,75702.8332,106093.252,19030.04436,56155.99201,47480.74648,2654014.236,60926.53349,73330.06686,69097.16273,124723.2221,24130.24818,67668.43064,285335.7372,1852007.716,3344366.541,238682.6528,17267.18436,483414.8938,57791.05503,102977.5647,1079753.894,73293.17181,63243.1528,235776.8876,8863.109121,395576.5225,136227.8557,42451.60315,29049.80534,3167869.31,1072910.088,73324.35147,32925.78555,187275.1185,29142.84003,60756.78875,160349.4129,486377.314,117841.6223,48573.5191,47663.74034,41358.29491,152150.6257,45978.02981,51338.43388,65988.40363,24552.44664,229320.7575,143724.5195,87741.41784,265667.503,93514.96449,25869.5922,196437.0658,95714.9555,69535.30524,27933.92297,170731.1664,28836.29192,157097.7911,181789.029,120986.0301,912140.6919,26451.31198,17783.92765,155215.55,121397.5895,699703.8877,19730.90796,38121.38992,59853.09288,144402.1735,68494.9645,60296.74798,110935.7147,26652.0878,29544.43363,28802.52181,87894.54963,42317.32417,401439.8606,2071931.685,60069.44835,21412.60365,92474.96458,19504.37763,23736.71794,40704.18567,116624.0311,42858.05439,32396.80074,27166.26659,22017.1112,16430.90982,17420.31761,39297.40029,35428.47242,47970.84957,588872.0127,91208.15864,418609.7923,23565.67206,27397.00229,25953.58846,37478.52837,22343.71787,21522.74372,146281.4879,26051.76484,57319.43121,16307.69761,52277.06967,323116.3515,137220.1091,811592.2052,86698.01574,807557.9365,28802.20675,15636.16194,24628.0156,9881.509646,494935.5235,23928.89995,53437.88703,5897.130979,39887.18766,96316.5415,123346.3209,14498.36681,75514.55324,7310.869543,16969.82117,26426.15813,42276.48947,553271.4481,149090.7373,23048.78448,23000.22618,22894.02777,36964.64893,19150.49836,34493.48716,47708.99108,14153.91728,37985.27842,26238.24177,33644.7354,90649.01038,36740.0538,29723.6806,62276.05629,7025.389956,17947.94705,22078.47884,70686.66623,18463.4038,26557.29075,55458.98756,24983.03129,33782.28893,184178.1126,36833.15338,21580.16117,407090.0406,52172.21026,65492.42772,15643.16009,16940.23026,37208.87831,48849.47927,39511.98769,21065.19933,140371.2804,18517.37176,49670.35974,39086.00609,46183.95634,35612.52187,29581.72889,28301.33792,60928.30964,43913.9001,161133.8445,59615.33823,23849.54661,34352.03717,1779975.684,45819.91175,17570.71426,83612.76967,34734.03651,96898.21409,22085.23134,930988.9025,26576.68699,120064.9981,87004.58707,15771.37022,59723.08475,44557.37713,347174.5778,169317.4427,219743.8504,66436.77606,55376.597,5865.961403,10286.21153,167617.3628,25617.23242,209333.3355,203115.2438,19969.29549,304674.781,307386.7057,85065.6158,18901.92945,37052.74188,78504.88828,5283.571864,30038.30652,34457.97532,118747.6643,36735.14061,8204.922167,19913.92972,8483.269791,7984.500936,5160179.284,375790.8247,11467.00733,33078.86702,19802.81373,12564.96774,425231.5262,65180.39946,17486.96016,60989.23326,285679.5196,72566.01776,3256052.856,21480.92194,13959.83741,20767.64718,28820.65067,25540.87385,51064.99369,263846.229,6364.70532,27638.4357,48903.69446,37864.34516,26619.91362,9052.011199,46186.31217,36571.01629,9105.460934,111676.5663,20371.01909,79003.10896,22702.55684,53721.72133,17883.92331,23629.16852,23884.1849,30662.86969,36375.69178,131463.8896,13259.85195,14510.57735,70204.56602,195943.0062,58183.54517,27476.08817,46073.96947,20906.06081,42583.38489,22386.30916,55426.66467,15779.14648,174854.0786,147255.8988,29092.33544,43671.19684,22619.61702,87160.93343,49537.26193,51829.874,84965.23188,25245.44916,66866.0889,33345.74711,17630.60359,89106.38831,20946.68119,47674.37379,14284.29112,36203.52858,24945.10761,41998.23685,52519.27461,166906.5977,76140.43569,38508.50471,20329.89976,56946.86967,101873.9903,163974.0355,6147.002039,77905.90582,42268.63424,55174.88308,20286.22764,40468.5864,55147.84117,7360.768811,137455.0288,30277.51249,40494.97511,95999.51041,22785.75961,1536.792097,39679.17222,200337.1153,537958.5586,57376.71432,42586.85071,125994.494,51545.59203,49449.37767,20736.2767,23158.13477,30949.12168,98307.6699,135074.5274,13054.49819,24613.46376,38076.50074,48494.69241,39475.31596,21646.03943,111142.4357,70836.22716,58533.99178,155150.1014,14998.47417,23876.91596,4872.716273,11078.26806,15664.04424,12737.9548,38548.40969,81074.57973,4705.322361,8924.086994,28128.14598,22386.84703,18421.19571,1061685.634,37936.67217,121792.7147,21264.19261,110115.2328,9697.861321,13891.75406,36557.84374,331686.4843,142433.4021,209249.9608,25524.64265,1386929.785,3203.915769,17650.11513,8665.79696,73127.82403,129555.4998,38331.819,579941.2335,73798.24032,27014.83418,520361.7416,170214.9689,180352.2779,75097.92012,57228.19425,352067.9176,305714.5676,53997.38,900779.6783,26079.03014,57714.01977,20231.66698,50175.12094,62608.04714,83277.17175,292644.6711,122415.4921,207661.4761,1418594.574,202472.8454,19231.1288,91053.52757,20065.88728,311263.1371,164965.0186,78858.90256,37195.62738,107428.7913,96323.33045,70022.1143,508295.4411,310960.1932,18555.75062,73340.13876,23517.93828,63890.52033,36644.08364,184321.4731,27706.79538,14789.57221,52203.55697,28647.77782,42648.775,23165.19829,16354.40696,32069.21386,21439.28189,84625.17823,50532.05309,285124.7214,16388.31709,71959.29278,5604.564525,70269.05657,35936.63874,170828.4722,343967.2392,51441.07936,198456.7327,83903.28632,11321.19258,19419.10903,63682.35215,24825.68485,52967.56769,100346.4171,19894.53765,234633.0852,19174.54099,148980.5434,34878.66764,59980.41719,31904.11324,47175.22109,99618.3162,51079.61708,16193.56065,45691.24794,100784.3592,18646.05702,70544.20925,37592.59192
p_mouse_0mV_4,0,23438.91363,49607.07159,32076.78028,66651.43029,41768.52103,228014.7265,58138.1603,37845.31834,598711.4455,50726.75382,188657.1744,255165.7725,36273.26031,62284.17693,101659.2264,20580.84753,51578.84403,49099.80797,2477303.34,57517.92318,63327.64623,69343.86624,115423.4076,23449.00273,58119.91146,289072.0156,1708563.186,3116587.604,224005.6838,16833.64674,433301.6085,53356.72747,98207.26749,958408.7711,72897.36569,52927.11115,213575.687,10032.75863,353556.9322,122497.6841,43714.48429,28727.31222,2951972.325,959182.7288,70493.16766,31967.82256,163186.4001,29347.09572,54520.2934,145972.5086,447225.773,101459.8861,43496.96227,45488.4729,34925.13795,140265.8154,43844.18221,47166.16399,58221.32143,24838.28175,216639.1114,130007.6519,72373.45752,240628.0187,87122.15241,26503.05595,185676.7598,88030.21323,59896.0088,26381.83265,147083.0407,23487.28071,149983.2436,167798.4682,115065.9109,845971.2066,23808.88068,16501.17752,144426.1791,121498.7115,651377.5265,15431.61257,36134.75056,55440.19169,127988.7014,60179.97973,58812.25019,102030.4239,22124.8208,25739.86069,25357.55834,80225.0032,35681.54628,366870.1337,1954202.476,54534.92748,18703.07309,83338.54321,14374.63527,24969.28361,38674.61388,109332.9764,43725.08562,28860.57166,24669.98977,18627.88336,13179.87035,17908.24092,41006.42525,31973.26694,40904.69195,511612.1156,84984.17181,377020.9589,17450.99994,24474.03768,26637.43696,29771.98667,22107.91507,20941.14504,149254.0681,23868.83108,54989.04429,15541.44148,42021.01397,295671.4429,118887.8698,737846.2943,82699.76796,721050.7113,27845.22203,13955.49506,19298.33711,8156.006507,460292.7913,24458.71345,54958.69837,5215.856576,38363.48981,89856.49063,107612.9214,11596.50843,74202.06243,4892.685941,14763.44276,25586.40899,38284.03546,519243.9391,134262.6447,22224.43869,21696.59793,22245.43869,33573.9914,15657.16483,30066.61556,42375.13225,12906.81162,30189.42894,21809.92155,31565.80938,82235.47354,34792.97615,26258.48374,58063.25139,7294.753147,18161.3546,20837.93552,64570.12562,15637.72408,27581.99972,50499.48064,22095.52997,33370.29702,171785.1976,31574.41691,21355.8449,384620.6585,50648.32109,58848.68459,12548.09791,15854.92209,37636.65344,41009.43858,35665.95422,19991.34908,126686.8606,17412.53598,48351.34475,34400.14572,45566.49519,32754.12156,26716.30465,26207.69982,60840.69742,41784.41136,153906.9894,54493.15383,21258.98714,41725.01147,1645505.272,43877.02309,18303.15518,76676.38617,30917.69714,84926.68943,18885.26084,870022.1232,25418.24287,115897.4814,78557.98782,17854.42737,53806.42151,41798.26309,331715.4215,159043.2134,206448.7053,60452.6034,42626.59061,6191.721364,9387.038055,155341.11,19576.16452,202638.3637,187163.178,17846.94113,267445.9391,272933.5649,86160.50246,16449.78683,34071.93442,74237.45279,5582.098551,28143.05699,33300.40255,110851.1807,34789.11971,8345.612115,19463.51033,7097.530332,5671.229891,4870825.862,340883.0688,10233.30897,30852.12604,19545.22282,10973.39848,412003.967,62444.13242,18964.12191,59389.79304,268046.06,66157.2233,3025416.24,22084.12864,12521.68409,19862.10243,26683.58025,23174.89391,43190.43735,253778.847,7297.608648,24885.70671,49896.67084,36936.37891,24642.56133,9193.516354,53038.15434,32877.73508,5718.219596,110174.2074,20666.57176,73510.93012,20839.06554,50720.15698,17709.68088,23407.99886,21860.7659,26611.71442,34003.19327,118383.6491,14062.39473,12194.86626,72496.26008,173387.5712,52934.55081,27703.11226,38733.30773,19803.29762,39736.03812,21444.42684,49806.89302,17130.57643,168194.3495,137983.0008,26286.53451,42721.37308,27040.26883,78304.84139,43628.28678,41970.71102,76241.48095,23766.79073,58391.58283,32584.66489,17037.34074,76942.70344,21185.18147,43860.10921,13077.59096,34257.82456,21820.77573,40752.22186,52785.0867,157898.5793,67740.84765,40348.53746,16061.02957,51932.62299,111896.062,151458.689,6686.89059,74803.98762,37118.56001,48833.98954,19264.51102,35444.40687,49723.63731,6429.919311,120307.1325,28372.28067,34459.12879,92369.76415,22066.58647,2181.427654,35015.81294,183964.1997,505635.93,52752.29736,39045.85027,116852.8595,53537.51033,44532.64982,17838.93541,19737.96241,29239.22642,87724.09468,132956.1739,10267.55826,24997.77387,34220.02283,46447.68251,55059.91414,21150.5815,103045.185,69631.57962,57071.78273,145027.1398,14726.97549,21831.46668,5084.085731,11166.41637,14842.18304,10427.59382,35405.38754,78312.15219,5326.089463,6673.752475,25011.96805,20834.37052,15407.57036,981865.781,35106.7049,117806.8877,18550.07278,104179.0364,5257.550239,14874.35191,39055.7842,322220.3225,134660.8151,194219.1057,21331.01052,1369994.2,3789.963354,19545.68009,7181.30644,70285.84477,119812.478,30833.80483,547456.8247,71626.85086,26188.71567,510097.5678,159602.2561,175608.0161,76500.1024,50986.26597,331495.5125,280560.8621,57577.42587,852215.8339,23720.4044,61204.17372,20172.15524,54165.53775,61778.26055,73370.81426,287151.0183,109507.4911,192778.3754,1324486.473,204640.7092,17951.66875,80028.10558,17401.07446,276236.6606,163499.7072,80600.0337,33000.72716,101873.3079,90169.00863,70356.11592,495377.6195,258030.9131,19335.03034,66548.73166,21685.68004,61931.44154,53165.15251,176855.6231,21848.27912,14434.94158,52639.22288,28975.7697,44398.77669,21213.44748,16833.43821,27831.0105,20956.19471,76236.75239,46715.36926,293066.6092,14904.13003,66291.68149,5316.729006,69992.62218,33111.83504,157515.6212,315398.4487,51001.15982,184723.6972,79587.81856,13112.1812,16247.53981,60459.33845,22035.68182,47792.16562,91481.16655,17193.52126,217879.9926,16604.81911,137952.3287,31384.01214,56190.79552,31669.37826,44687.82495,95310.6923,46757.82106,13942.82045,38132.60563,95332.62092,17533.16483,63859.19848,35863.33357
